,Codigo,Município,2016,2017,2018,2019,2020,2021
332,292790,Santa Inês,253,-,-,-,2,-
333,292805,Santa Luzia,213,44,3,1,-,1
334,292810,Santa Maria da Vitória,-,2,2,6,-,4
335,292840,Santa Rita de Cássia,-,2,-,3,17,52
336,292850,Santa Teresinha,10,-,-,-,55,4
337,292800,Santaluz,2358,5,-,1,65,-
338,292820,Santana,-,-,-,1,-,74
339,292830,Santanópolis,-,-,-,23,97,-
340,292860,Santo Amaro,37,5,1,89,191,-
341,292870,Santo Antônio de Jesus,528,3,2,5,64,3
342,292880,Santo Estêvão,2,1,-,12,56,3
343,292890,São Desidério,5,14,9,100,98,323
344,292895,São Domingos,55,3,-,1,1,-
345,292910,São Felipe,14,-,-,1,3,-
346,292900,São Félix,-,-,-,-,43,2
347,292905,São Félix do Coribe,-,3,7,-,-,46
348,292920,São Francisco do Conde,1054,343,47,431,89,7
349,292925,São Gabriel,6,-,-,-,6,125
350,292930,São Gonçalo dos Campos,19,7,1,27,41,1
351,292935,São José da Vitória,137,-,1,-,-,2
352,292937,São José do Jacuípe,14,1,-,1,46,2
353,292940,São Miguel das Matas,10,-,-,2,-,-
354,292950,São Sebastião do Passé,11,3,-,74,19,1
355,292960,Sapeaçu,2,-,-,2,18,41
356,292970,Sátiro Dias,8,-,-,37,14,-
357,292975,Saubara,-,-,-,-,1,-
358,292980,Saúde,8,-,-,-,8,1
359,292990,Seabra,6,2,1,-,1128,24
360,293000,Sebastião Laranjeiras,4,1,1,8,2,3
361,293010,Senhor do Bonfim,1957,16,1,4,4,1
362,293020,Sento Sé,93,2,1,-,-,-
363,293015,Serra do Ramalho,5,-,-,-,-,120
364,293030,Serra Dourada,-,-,3,3,2,14
365,293040,Serra Preta,-,1,-,-,25,-
366,293050,Serrinha,330,2,-,5,695,3
367,293060,Serrolândia,313,1,3,13,82,11
368,293070,Simões Filho,452,128,4,65,839,33
369,293075,Sítio do Mato,-,-,1,-,-,1
370,293076,Sítio do Quinto,274,-,1,3,1,-
371,293077,Sobradinho,94,1,2,1,4,1
372,293080,Souto Soares,1,-,-,1,-,-
373,293090,Tabocas do Brejo Velho,-,-,1,-,-,-
374,293100,Tanhaçu,-,1,2,1,4,1
375,293105,Tanque Novo,16,1,-,-,-,1
376,293110,Tanquinho,5,5,1,-,128,12
377,293120,Taperoá,1,1,4,6,96,-
378,293130,Tapiramutá,191,422,4,2,2,-
379,293135,Teixeira de Freitas,326,2195,2600,124,535,68
380,293140,Teodoro Sampaio,-,-,-,2,8,1
381,293150,Teofilândia,13,-,-,-,64,-
382,293160,Teolândia,8,1,-,2,3,2
383,293170,Terra Nova,2,-,-,92,34,-
384,293180,Tremedal,13,2,1,-,4,-
385,293190,Tucano,236,5,4,11,228,-
386,293200,Uauá,360,1,1,3,20,-
387,293210,Ubaíra,9,-,-,17,20,-
388,293220,Ubaitaba,44,2,-,1,-,-
389,293230,Ubatã,71,-,-,-,6,-
390,293240,Uibaí,18,1,-,3,1733,2
391,293245,Umburanas,10,-,1,-,17,75
392,293250,Una,218,17,1,-,6,5
393,293260,Urandi,-,-,-,-,-,3
394,293270,Uruçuca,68,92,-,5,12,1
395,293280,Utinga,13,-,1,2,27,3
396,293290,Valença,2259,1,3,31,13,4
397,293300,Valente,134,15,5,3,135,5
398,293305,Várzea da Roça,11,-,2,-,64,4
399,293310,Várzea do Poço,34,-,-,-,1,-
400,293315,Várzea Nova,1,4,-,3,-,260
401,293317,Varzedo,16,-,-,-,-,-
402,293320,Vera Cruz,43,10,3,15,213,2
403,293325,Vereda,-,2,-,-,-,-
404,293330,Vitória da Conquista,82,28,16,55,863,158
405,293340,Wagner,11,-,-,-,20,3
406,293345,Wanderley,2,4,-,1,-,1
407,293350,Wenceslau Guimarães,6,1,1,1,10,1
408,293360,Xique-Xique,2,1,1,-,8,58
