,Codigo,Município,Em Branco,Ignorado,Masculino,Feminino
387,293210,Ubaíra,0,0,114,152
388,293220,Ubaitaba,0,1,31,49
389,293230,Ubatã,0,0,56,54
390,293240,Uibaí,0,0,251,308
391,293245,Umburanas,0,0,42,68
392,293250,Una,0,1,36,35
393,293260,Urandi,0,0,5,3
394,293270,Uruçuca,0,0,65,79
395,293280,Utinga,0,0,19,27
396,293290,Valença,0,0,93,109
397,293300,Valente,0,0,513,602
398,293305,Várzea da Roça,0,0,31,46
399,293310,Várzea do Poço,0,0,1,0
400,293315,Várzea Nova,0,0,27,29
401,293317,Varzedo,0,0,3,4
402,293320,Vera Cruz,0,0,286,399
403,293325,Vereda,0,0,5,1
404,293330,Vitória da Conquista,0,10,0,0
405,293340,Wagner,0,0,29,25
406,293345,Wanderley,0,0,1,0
407,293350,Wenceslau Guimarães,0,0,28,24
408,293360,Xique-Xique,0,0,10,9
