,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+,Codigo
214,Jitaúna,0,0,0,2,3,2,2,2,2,0,291830
215,João Dourado,1,1,5,6,1,16,9,10,1,0,291835
216,Juazeiro,33,55,107,106,182,673,564,266,51,14,291840
217,Jussara,0,0,1,2,7,18,16,7,2,0,291850
218,Jussari,0,1,2,3,7,4,8,1,0,0,291855
219,Jussiape,2,2,2,3,1,15,17,13,9,2,291860
220,Lafaiete Coutinho,2,3,7,18,18,23,16,15,4,0,291870
221,Lagoa Real,2,5,6,8,20,47,29,22,9,1,291875
222,Laje,3,1,4,8,9,42,31,18,4,0,291880
223,Lajedão,0,1,0,0,0,0,2,1,0,0,291890
224,Lajedinho,0,0,0,0,0,4,3,1,1,0,291900
225,Lajedo do Tabocal,0,1,2,3,9,5,10,4,0,0,291905
226,Lamarão,2,7,19,21,13,57,56,30,18,2,291910
227,Lapão,4,4,16,19,26,87,65,37,10,3,291915
228,Lauro de Freitas,19,33,42,36,30,161,165,76,19,2,291920
229,Lençóis,5,6,9,14,15,38,43,22,7,2,291930
230,Licínio de Almeida,0,0,1,6,15,23,18,9,5,5,291940
231,Livramento de Nossa Senhora,23,12,10,28,32,148,99,68,23,4,291950
232,Luís Eduardo Magalhães,4,10,9,16,14,86,57,23,10,1,291955
233,Macajuba,2,2,7,11,15,33,35,33,10,3,291960
234,Macarani,4,10,27,15,22,32,20,18,3,0,291970
235,Macaúbas,2,5,19,15,15,59,76,38,30,2,291980
236,Madre de Deus,4,2,4,2,4,17,6,8,1,0,291992
237,Maetinga,1,0,0,0,0,2,4,0,0,0,291995
238,Maiquinique,2,5,16,10,16,27,9,5,2,1,292000
239,Mairi,0,1,3,1,6,14,10,4,0,0,292010
240,Malhada,0,1,0,0,4,4,3,3,0,1,292020
241,Malhada de Pedras,0,2,1,3,5,20,12,7,4,0,292030
242,Manoel Vitorino,11,23,22,28,37,63,62,45,30,16,292040
243,Maracás,3,4,5,14,23,88,66,28,7,1,292050
244,Maragogipe,12,6,11,15,29,63,63,30,21,2,292060
245,Maraú,3,1,8,4,19,46,33,21,6,1,292070
246,Marcionílio Souza,10,17,32,45,26,106,100,81,44,12,292080
247,Mascote,0,1,6,6,6,4,7,9,2,0,292090
248,Mata de São João,5,2,4,2,9,44,22,13,4,2,292100
249,Medeiros Neto,2,13,22,24,37,80,61,42,22,3,292110
250,Miguel Calmon,5,4,7,2,8,30,25,11,4,2,292120
251,Milagres,3,3,7,5,6,26,32,20,6,1,292130
252,Mirangaba,1,1,1,4,4,25,14,6,4,1,292140
253,Mirante,0,4,2,12,13,28,25,4,2,0,292145
254,Monte Santo,0,0,2,1,0,2,0,1,0,1,292150
255,Morpará,6,8,9,12,20,48,57,32,12,0,292160
256,Morro do Chapéu,7,4,15,16,35,93,59,36,8,4,292170
257,Mortugaba,0,0,0,1,1,2,5,3,2,0,292180
258,Mucuri,1,4,10,18,22,49,33,26,8,4,292200
259,Mulungu do Morro,3,1,1,6,11,34,25,14,15,4,292205
260,Mundo Novo,0,2,3,2,1,1,8,2,0,1,292210
261,Muniz Ferreira,0,0,0,0,0,3,2,0,0,0,292220
262,Muritiba,3,1,3,4,6,21,31,10,3,0,292230
263,Mutuípe,2,0,2,2,2,10,8,5,6,0,292240
264,Nazaré,0,0,1,3,1,4,3,0,1,1,292250
265,Nilo Peçanha,0,0,3,3,3,44,25,14,4,1,292260
266,Nordestina,1,2,0,3,1,9,6,2,0,0,292265
267,Nova Canaã,1,3,25,32,31,72,66,44,18,10,292270
268,Nova Fátima,2,7,7,12,24,47,50,48,20,7,292273
269,Nova Ibiá,2,11,11,12,8,27,19,9,7,1,292275
270,Nova Itarana,3,3,11,7,15,26,17,14,5,0,292280
271,Nova Redenção,4,11,15,19,21,53,42,38,19,5,292285
272,Nova Soure,9,5,12,8,13,32,29,13,1,4,292290
273,Nova Viçosa,4,7,12,17,18,38,27,18,13,3,292300
274,Novo Horizonte,0,1,2,0,1,4,2,1,2,0,292303
275,Novo Triunfo,0,1,0,3,4,1,0,0,0,0,292305
276,Olindina,0,4,4,7,8,11,7,3,4,0,292310
277,Oliveira dos Brejinhos,2,6,6,13,18,45,37,31,20,2,292320
278,Ouriçangas,2,5,10,9,11,53,31,22,6,2,292330
279,Ourolândia,6,15,33,22,19,53,43,10,5,2,292335
280,Palmas de Monte Alto,0,3,2,6,8,20,12,14,4,0,292340
281,Palmeiras,0,3,12,14,18,56,43,26,5,0,292350
282,Paramirim,3,1,4,10,10,23,22,20,6,3,292360
283,Paratinga,1,13,29,42,40,134,155,74,45,12,292370
284,Paripiranga,2,4,1,2,4,15,13,14,1,4,292380
285,Pau Brasil,0,0,1,1,3,0,0,1,0,0,292390
286,Paulo Afonso,29,46,119,109,112,451,473,322,127,21,292400
287,Pé de Serra,1,3,14,24,29,82,74,34,12,1,292405
288,Pedrão,0,1,2,5,3,10,12,10,5,0,292410
289,Pedro Alexandre,0,0,0,0,0,1,0,0,0,0,292420
290,Piatã,0,0,1,0,0,0,0,0,0,0,292430
291,Pilão Arcado,0,0,0,0,1,2,0,0,0,0,292440
292,Pindaí,0,0,1,0,2,1,0,0,2,0,292450
293,Pindobaçu,3,9,5,7,7,12,9,0,1,1,292460
294,Pintadas,1,3,0,0,0,2,2,2,0,0,292465
295,Piraí do Norte,0,0,0,0,1,6,3,1,1,0,292467
296,Piripá,3,19,27,34,32,64,63,21,5,1,292470
297,Piritiba,1,1,6,6,12,24,11,9,5,0,292480
298,Planaltino,0,0,0,1,1,2,1,0,1,0,292490
299,Planalto,4,3,4,10,14,36,31,15,2,0,292500
300,Poções,4,4,0,1,8,23,19,7,5,1,292510
301,Pojuca,5,17,9,30,33,135,105,54,17,3,292520
302,Ponto Novo,3,4,4,7,0,13,6,5,1,0,292525
303,Porto Seguro,9,14,31,45,48,196,159,87,11,3,292530
304,Potiraguá,0,1,0,0,1,0,0,2,0,0,292540
305,Prado,1,1,9,8,7,20,12,19,5,0,292550
306,Presidente Dutra,9,16,49,66,76,196,201,125,54,17,292560
307,Presidente Jânio Quadros,1,3,0,1,4,15,9,6,3,0,292570
