,Codigo,Município,2016,2017,2018,2019,2020,2021
349,293020,Sento Sé,14,1,1,0,0,0
350,293015,Serra do Ramalho,196,0,2,0,0,0
351,293030,Serra Dourada,0,0,4,4,0,0
352,293040,Serra Preta,0,1,2,0,0,0
353,293050,Serrinha,182,9,0,1,0,0
354,293060,Serrolândia,78,3,4,11,16,3
355,293070,Simões Filho,557,87,0,61,164,2
356,293075,Sítio do Mato,0,0,2,0,0,0
357,293077,Sobradinho,2,0,2,0,4,0
358,293080,Souto Soares,1,1,0,0,0,0
359,293100,Tanhaçu,1,1,0,0,0,0
360,293105,Tanque Novo,87,0,0,0,0,0
361,293110,Tanquinho,3,12,6,1,28,1
362,293120,Taperoá,15,0,3,1,2,0
363,293130,Tapiramutá,1,0,0,0,0,1
364,293135,Teixeira de Freitas,1081,75,39,7,56,18
365,293140,Teodoro Sampaio,2,0,0,2,1,0
366,293150,Teofilândia,23,0,1,0,0,0
367,293160,Teolândia,149,2,0,0,1,3
368,293170,Terra Nova,19,0,0,1,0,0
369,293180,Tremedal,4,0,0,1,34,0
370,293190,Tucano,58,1,1,8,26,0
371,293200,Uauá,67,0,1,2,0,0
372,293210,Ubaíra,27,1,0,12,19,0
373,293220,Ubaitaba,10,1,0,2,0,0
374,293230,Ubatã,50,4,0,1,2,0
375,293240,Uibaí,594,1,0,0,1,1
376,293245,Umburanas,72,0,0,0,0,0
377,293250,Una,113,4,2,3,2,1
378,293260,Urandi,58,0,0,26,2,2
379,293270,Uruçuca,15,7,0,1,0,1
380,293280,Utinga,16,1,1,1,1,0
381,293290,Valença,545,1,5,26,36,2
382,293300,Valente,862,1,0,4,10,1
383,293305,Várzea da Roça,22,0,0,0,0,0
384,293310,Várzea do Poço,2,0,0,1,0,0
385,293315,Várzea Nova,99,1,1,0,0,138
386,293317,Varzedo,15,1,0,0,0,0
387,293320,Vera Cruz,168,8,5,56,70,2
388,293330,Vitória da Conquista,255,28,15,78,1037,52
389,293340,Wagner,1,0,0,0,1,0
390,293345,Wanderley,12,0,0,0,0,0
391,293350,Wenceslau Guimarães,37,0,0,1,1,0
392,293360,Xique-Xique,1,0,0,0,0,3
