,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
47,Bonito,1,3,4,3,1,2,4,0,0,0
48,Boquira,1,1,4,6,7,11,4,2,1,0
49,Botuporã,0,2,8,29,12,35,13,8,3,0
50,Brejões,0,1,0,2,2,12,9,2,0,0
51,Brejolândia,1,1,0,0,0,2,0,1,1,0
52,Brotas de Macaúbas,0,0,0,1,2,3,2,3,0,0
53,Brumado,2,13,3,13,5,28,15,7,7,1
54,Buerarema,2,0,1,5,10,17,10,5,0,0
55,Buritirama,0,2,2,0,5,3,5,3,2,0
56,Caatiba,0,0,0,0,0,0,0,1,0,0
57,Cabaceiras do Paraguaçu,1,0,0,2,1,2,4,0,0,0
58,Cachoeira,0,3,3,2,2,3,4,1,3,0
59,Caculé,0,0,1,1,1,1,0,0,0,0
60,Caém,0,0,2,1,1,5,2,2,0,0
61,Caetanos,0,0,0,0,1,0,4,0,0,0
62,Caetité,0,3,3,1,3,9,4,4,0,0
63,Cafarnaum,1,1,5,11,12,38,40,23,6,1
64,Cairu,0,1,1,0,3,19,6,1,0,0
65,Caldeirão Grande,0,0,2,0,1,6,2,4,2,0
66,Camacan,1,4,5,7,1,9,13,3,1,0
67,Camaçari,19,51,73,71,36,133,63,22,5,0
68,Camamu,0,1,0,0,0,0,0,0,0,0
69,Campo Alegre de Lourdes,0,5,5,20,18,72,82,55,42,6
70,Campo Formoso,4,25,16,19,11,38,13,6,5,0
71,Canarana,1,3,1,2,5,16,12,7,4,0
72,Canavieiras,0,2,9,7,2,19,21,12,5,0
73,Candeal,4,2,8,7,9,26,15,11,1,0
74,Candeias,1,8,6,10,12,17,16,9,3,0
75,Candiba,0,0,0,0,1,1,0,2,0,0
76,Cândido Sales,1,3,11,23,30,60,41,30,8,1
77,Cansanção,2,2,1,4,4,4,3,4,1,0
78,Canudos,0,1,0,2,0,5,1,0,0,0
79,Capela do Alto Alegre,1,0,1,0,1,1,1,0,0,0
80,Capim Grosso,9,9,5,5,17,36,21,5,2,1
81,Caraíbas,0,0,0,0,0,2,1,1,0,0
82,Caravelas,2,2,3,6,12,24,10,6,0,0
83,Cardeal da Silva,0,3,3,8,8,22,17,4,5,0
84,Carinhanha,2,0,2,5,2,6,1,3,0,0
85,Casa Nova,17,8,20,43,100,281,177,85,41,7
86,Castro Alves,5,4,2,2,7,18,9,3,0,0
87,Catolândia,0,0,0,2,1,3,0,0,0,0
88,Catu,2,6,4,6,7,14,13,9,0,1
89,Caturama,0,0,1,1,5,9,5,4,1,1
90,Central,9,2,7,18,12,42,41,16,14,3
91,Chorrochó,5,0,0,2,1,3,8,4,1,0
92,Cícero Dantas,5,8,18,8,6,15,12,3,1,1
93,Cipó,2,2,1,5,7,19,8,9,2,1
94,Coaraci,1,3,2,1,0,5,3,1,0,0
95,Cocos,0,0,1,1,0,0,1,2,0,0
96,Conceição da Feira,6,2,4,4,6,20,10,7,2,0
97,Conceição do Almeida,0,0,0,0,1,1,2,1,1,0
98,Conceição do Coité,2,6,5,12,14,30,26,8,9,1
99,Conceição do Jacuípe,1,5,8,14,7,35,15,6,1,1
100,Conde,0,0,2,0,7,3,8,2,0,0
101,Condeúba,1,0,0,0,0,0,0,0,0,0
102,Contendas do Sincorá,0,1,1,0,0,1,0,1,0,0
103,Coração de Maria,0,1,1,0,4,9,6,2,0,0
104,Cordeiros,0,1,4,3,1,12,13,3,2,1
105,Coribe,1,2,0,3,1,18,10,10,0,0
106,Coronel João Sá,1,7,10,9,4,14,10,3,0,2
107,Correntina,4,4,8,4,19,51,64,21,11,0
108,Cotegipe,7,19,16,38,44,95,66,49,15,9
109,Cravolândia,0,1,0,0,0,0,0,0,0,0
110,Cristópolis,2,5,11,28,30,83,75,42,25,4
111,Cruz das Almas,0,2,0,2,10,32,18,10,1,0
112,Curaçá,2,3,3,1,3,2,4,1,0,0
113,Dário Meira,0,0,0,1,0,3,0,1,1,0
114,Dias d'Ávila,4,3,5,7,6,19,16,4,2,0
115,Dom Basílio,0,0,0,0,0,0,1,0,0,0
116,Dom Macedo Costa,3,1,1,1,2,13,8,4,0,0
117,Elísio Medrado,0,0,1,1,0,3,0,0,0,0
118,Encruzilhada,1,1,6,6,13,39,27,8,1,0
119,Entre Rios,0,1,0,2,4,8,4,3,0,0
120,Érico Cardoso,0,0,0,0,0,3,1,2,0,0
121,Esplanada,2,2,8,10,3,12,14,3,0,0
122,Euclides da Cunha,3,6,8,10,14,28,23,18,7,3
123,Eunápolis,24,31,84,124,124,279,136,44,20,4
124,Fátima,3,6,29,25,17,32,14,6,2,0
125,Feira da Mata,0,1,2,3,9,9,7,8,3,0
126,Feira de Santana,88,307,470,435,585,1490,798,384,116,16
127,Filadélfia,0,3,2,2,4,11,5,4,0,0
128,Firmino Alves,0,0,0,0,0,4,2,0,0,0
129,Floresta Azul,0,1,4,3,1,4,3,3,1,0
130,Formosa do Rio Preto,5,3,6,11,34,70,113,30,2,0
131,Gandu,2,5,3,1,7,8,2,1,1,0
132,Gavião,0,0,1,0,0,2,5,1,0,0
133,Gentio do Ouro,3,8,21,48,36,106,89,79,45,4
134,Glória,10,7,10,10,9,27,20,13,7,3
135,Gongogi,2,2,1,2,5,12,4,2,0,0
136,Governador Mangabeira,0,0,0,0,0,2,4,1,0,0
137,Guajeru,0,0,0,0,0,0,0,0,0,1
138,Guanambi,28,37,103,85,89,250,125,64,30,6
139,Guaratinga,1,0,0,2,0,3,0,0,0,0
140,Heliópolis,2,0,7,5,1,5,5,0,2,0
141,Iaçu,0,2,0,2,3,5,3,0,1,0
142,Ibiassucê,0,6,7,2,16,33,43,20,8,3
143,Ibicaraí,0,2,2,1,1,7,3,2,0,0
144,Ibicoara,0,0,0,0,1,5,9,4,1,0
145,Ibicuí,0,0,1,0,0,1,0,0,0,0
146,Ibipeba,2,0,7,14,10,43,46,25,10,1
147,Ibipitanga,0,1,4,10,16,32,18,18,8,0
148,Ibiquera,0,2,3,1,1,7,3,1,0,0
149,Ibirapitanga,1,0,0,0,0,1,1,0,0,0
150,Ibirapuã,0,0,0,0,1,0,2,0,0,0
151,Ibirataia,4,2,5,4,10,15,6,7,2,0
152,Ibitiara,2,1,2,3,2,12,10,5,1,2
153,Ibititá,1,2,5,6,23,45,17,32,7,2
154,Ibotirama,0,1,0,1,5,14,9,4,4,0
155,Ichu,5,7,13,14,22,62,65,30,10,3
156,Igaporã,1,1,0,1,6,23,5,4,0,0
157,Iguaí,1,3,0,1,2,4,3,1,0,0
158,Ilhéus,55,69,137,199,208,577,302,168,42,19
159,Inhambupe,2,0,5,3,2,10,4,2,3,0
160,Ipecaetá,0,1,0,0,0,0,1,0,0,0
161,Ipiaú,1,6,16,15,18,61,21,8,3,0
162,Ipirá,4,2,2,1,4,10,8,1,1,0
163,Ipupiara,0,3,2,4,7,13,20,13,6,2
164,Iramaia,1,2,3,2,3,7,3,0,2,0
165,Iraquara,0,0,2,5,2,5,4,2,1,0
166,Irará,5,6,19,19,6,28,12,1,1,0
167,Irecê,16,36,91,148,240,745,494,218,106,22
168,Itabela,7,7,13,6,31,30,22,8,8,1
169,Itaberaba,1,1,1,2,2,13,6,6,2,0
170,Itabuna,18,20,51,61,54,244,95,57,16,0
171,Itacaré,7,3,7,9,11,35,17,7,3,0
172,Itaeté,0,7,3,12,13,33,23,9,3,1
173,Itagi,2,7,10,17,12,48,42,26,4,1
174,Itagibá,2,1,3,3,15,12,6,6,2,1
175,Itagimirim,0,1,0,0,1,0,5,0,0,0
176,Itaguaçu da Bahia,14,5,6,27,36,109,75,45,20,1
177,Itaju do Colônia,0,0,0,0,0,0,0,1,0,0
178,Itajuípe,5,10,7,10,11,25,5,8,1,0
179,Itamaraju,9,11,22,15,2,11,8,4,5,0
180,Itamari,1,1,2,3,2,5,3,0,0,3
181,Itambé,0,3,1,1,2,6,4,1,0,0
182,Itanhém,5,4,15,12,6,23,12,7,0,1
183,Itaparica,0,0,0,1,1,2,2,1,0,0
184,Itapé,0,1,0,0,0,0,0,1,0,0
185,Itapebi,0,0,3,2,2,7,5,3,0,0
186,Itapetinga,3,3,6,9,6,32,13,5,1,0
187,Itapicuru,2,3,6,3,2,4,9,2,1,0
188,Itapitanga,1,2,2,0,1,8,4,1,4,1
189,Itaquara,1,3,1,4,3,14,8,6,0,0
190,Itarantim,0,0,0,0,0,1,0,0,0,0
191,Itatim,1,5,4,1,1,20,5,5,2,0
192,Itiruçu,0,0,0,0,1,8,4,2,1,0
193,Itiúba,0,2,1,5,2,5,3,1,0,0
194,Itororó,0,1,1,0,0,5,4,1,0,0
195,Ituaçu,0,0,0,0,0,1,3,0,0,0
196,Ituberá,0,1,0,0,0,1,0,0,0,0
197,Iuiú,0,1,0,1,0,1,0,0,1,0
198,Jaborandi,0,0,1,1,3,12,4,5,1,1
199,Jacobina,6,17,19,25,22,69,61,26,14,2
200,Jaguaquara,6,11,20,17,14,24,26,24,10,1
201,Jaguarari,2,3,0,4,3,9,9,7,1,0
202,Jaguaripe,0,0,0,0,0,1,0,0,0,0
203,Jandaíra,1,0,1,0,0,2,2,1,0,0
204,Jequié,29,72,79,103,139,446,182,107,39,17
205,Jeremoabo,4,31,27,28,31,82,53,18,8,1
206,Jiquiriçá,0,0,0,0,0,2,0,1,0,0
207,Jitaúna,0,4,3,4,4,30,14,12,6,1
208,João Dourado,2,8,16,24,40,77,58,37,13,4
209,Juazeiro,1,22,55,97,95,473,190,100,26,4
210,Jucuruçu,0,0,0,0,0,1,0,0,0,0
211,Jussara,6,14,36,66,65,155,145,99,44,3
212,Jussari,0,0,3,5,4,11,9,3,3,0
213,Jussiape,1,0,0,0,0,0,0,0,0,0
214,Lafaiete Coutinho,2,0,1,4,2,8,2,1,1,0
215,Lagoa Real,0,1,8,4,5,14,6,3,1,0
216,Lajedão,0,0,0,0,0,2,1,1,0,0
217,Lajedinho,3,3,9,13,18,31,32,26,6,2
218,Lajedo do Tabocal,0,2,0,4,6,11,5,1,1,0
219,Lamarão,0,0,2,0,1,1,0,1,1,0
220,Lapão,1,2,6,8,15,66,36,25,5,1
221,Lauro de Freitas,13,46,75,86,29,141,85,44,5,0
222,Lençóis,0,4,10,24,14,54,26,17,8,3
223,Licínio de Almeida,0,0,1,0,1,0,0,0,0,0
224,Livramento de Nossa Senhora,0,1,0,2,0,4,3,1,0,0
225,Luís Eduardo Magalhães,5,12,26,37,39,166,97,24,2,2
226,Macajuba,0,0,0,0,1,2,1,0,1,0
227,Macarani,0,0,0,0,0,4,3,0,0,1
228,Macaúbas,3,2,0,6,9,13,4,3,0,0
229,Macururé,0,0,1,1,3,2,0,0,1,1
230,Madre de Deus,3,10,27,12,12,19,11,2,0,0
231,Maetinga,1,0,0,0,0,1,4,1,1,0
232,Mairi,3,3,3,6,10,18,14,8,1,1
233,Malhada,0,1,0,0,0,0,0,0,0,0
234,Malhada de Pedras,1,1,2,8,3,13,9,5,2,0
235,Manoel Vitorino,9,12,23,44,35,81,60,39,15,3
236,Mansidão,0,1,4,4,8,46,19,13,4,0
237,Maracás,3,3,10,12,25,28,28,11,3,0
238,Maragogipe,1,4,6,3,7,12,5,3,0,0
239,Maraú,0,1,0,0,0,2,0,1,0,0
240,Marcionílio Souza,1,4,3,9,4,17,14,9,3,0
241,Mascote,1,0,2,0,3,5,6,1,1,0
242,Mata de São João,1,3,7,1,2,12,9,7,0,0
243,Matina,0,0,0,1,0,2,0,0,1,0
244,Medeiros Neto,0,0,0,5,6,8,5,1,0,0
245,Miguel Calmon,4,6,21,16,39,38,42,23,12,1
